insured_sex,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,fraud_reported,age_group,months_as_customer_groups,policy_annual_premium_groups
FEMALE,-30700,Multi-vehicle Collision,Rear Collision,Major Damage,Other,21,3,1,0,61050,Y,41-45,251-300,medium
FEMALE,-41400,Parked Car,?,Minor Damage,None,7,1,1,1,5590,N,46-50,301-350,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,19,3,0,0,46860,Y,46-50,251-300,low
FEMALE,-54300,Parked Car,?,Minor Damage,None,5,1,1,3,4290,N,31-35,101-150,medium
FEMALE,0,Multi-vehicle Collision,Front Collision,Minor Damage,Police,22,3,0,0,78500,Y,56-60,401-450,medium
MALE,-49700,Single Vehicle Collision,Side Collision,Total Loss,Police,12,1,1,3,70830,N,41-45,251-300,low
MALE,-66100,Multi-vehicle Collision,Front Collision,Total Loss,Police,19,3,0,2,68040,N,56-60,401-450,medium
FEMALE,-87300,Single Vehicle Collision,Side Collision,Major Damage,Fire,10,1,2,0,63600,Y,31-35,0-50,medium
FEMALE,0,Single Vehicle Collision,Side Collision,Minor Damage,Other,7,1,0,3,43560,N,61-65,451-500,medium
MALE,-45800,Single Vehicle Collision,Front Collision,Total Loss,Police,17,1,1,1,60840,N,31-35,101-150,medium
FEMALE,-57700,Multi-vehicle Collision,Side Collision,Total Loss,Police,0,3,2,3,68160,N,51-55,401-450,medium
FEMALE,-43700,Parked Car,?,Minor Damage,None,9,1,1,0,5170,Y,26-30,101-150,low
FEMALE,0,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,21,1,0,3,57700,N,36-40,151-200,medium
FEMALE,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,22,3,0,2,89520,N,46-50,251-300,medium
MALE,-44400,Vehicle Theft,?,Minor Damage,None,3,1,1,0,4620,Y,41-45,201-250,high
FEMALE,-36600,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,16,1,0,3,45180,N,36-40,251-300,medium
MALE,-50000,Single Vehicle Collision,Side Collision,Total Loss,Other,14,1,0,0,45100,Y,36-40,151-200,medium
MALE,-48600,Multi-vehicle Collision,Side Collision,Total Loss,Police,21,3,0,3,83160,N,31-35,51-100,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,19,1,2,1,86130,N,41-45,201-250,medium
MALE,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,13,3,1,3,48000,N,21-25,0-50,medium
FEMALE,-45300,Vehicle Theft,?,Minor Damage,Police,21,1,0,0,3300,Y,31-35,101-150,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,11,3,1,2,57200,N,31-35,201-250,medium
FEMALE,-48800,Vehicle Theft,?,Trivial Damage,Police,16,1,2,0,7590,Y,31-35,101-150,medium
FEMALE,-89400,Single Vehicle Collision,Rear Collision,Total Loss,Police,9,1,0,2,80080,N,36-40,151-200,medium
FEMALE,-70100,Vehicle Theft,?,Minor Damage,Police,8,1,0,0,4800,Y,26-30,101-150,medium
FEMALE,-36400,Vehicle Theft,?,Minor Damage,Police,7,1,2,1,3900,Y,36-40,151-200,medium
MALE,0,Single Vehicle Collision,Front Collision,Minor Damage,Other,12,1,0,0,90400,Y,26-30,51-100,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,21,3,0,0,62900,Y,26-30,51-100,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,4,1,1,2,54200,Y,31-35,151-200,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,18,3,2,2,51800,N,46-50,351-400,medium
MALE,0,Vehicle Theft,?,Trivial Damage,Police,7,1,2,3,6600,N,51-55,401-450,low
MALE,-77700,Single Vehicle Collision,Side Collision,Total Loss,Fire,13,1,2,0,74140,Y,31-35,201-250,low
FEMALE,-35200,Single Vehicle Collision,Front Collision,Total Loss,Fire,0,1,2,1,67800,N,21-25,51-100,high
MALE,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,22,1,1,1,55400,Y,41-45,201-250,medium
MALE,-51500,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,15,1,2,3,49100,Y,36-40,201-250,medium
FEMALE,-78600,Multi-vehicle Collision,Side Collision,Major Damage,Police,3,3,2,1,98280,Y,41-45,201-250,low
FEMALE,-70900,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,18,2,0,2,66550,N,36-40,251-300,high
FEMALE,-5700,Multi-vehicle Collision,Side Collision,Major Damage,Fire,17,3,2,2,70400,N,31-35,101-150,medium
MALE,-49600,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,18,3,1,1,53280,Y,41-45,251-300,medium
FEMALE,0,Single Vehicle Collision,Front Collision,Total Loss,Other,11,1,2,3,84590,N,31-35,51-100,low
FEMALE,-55400,Single Vehicle Collision,Rear Collision,Total Loss,Other,17,1,0,2,54560,N,36-40,201-250,medium
MALE,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,12,1,0,2,82170,N,36-40,251-300,medium
MALE,-65800,Multi-vehicle Collision,Front Collision,Total Loss,Police,15,3,1,2,61100,N,41-45,51-100,medium
MALE,0,Multi-vehicle Collision,Front Collision,Minor Damage,Police,0,3,0,3,51900,Y,41-45,201-250,medium
FEMALE,-80800,Parked Car,?,Trivial Damage,Police,9,1,2,1,3440,N,36-40,0-50,low
MALE,-49900,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,1,1,2,1,51390,N,36-40,151-200,high
MALE,-21500,Single Vehicle Collision,Side Collision,Major Damage,Other,22,1,0,2,76900,N,31-35,0-50,high
MALE,-58400,Single Vehicle Collision,Rear Collision,Minor Damage,Other,11,1,2,3,77000,Y,41-45,201-250,low
MALE,0,Single Vehicle Collision,Side Collision,Major Damage,Other,10,1,0,3,60320,Y,36-40,201-250,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,5,1,1,1,60700,N,46-50,301-350,high
FEMALE,-54000,Multi-vehicle Collision,Rear Collision,Total Loss,Police,3,3,1,2,53280,N,21-25,0-50,medium
FEMALE,-32800,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,18,1,2,2,34290,N,41-45,251-300,high
MALE,-32200,Single Vehicle Collision,Rear Collision,Total Loss,Other,21,1,0,1,46980,N,41-45,251-300,medium
MALE,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,6,3,1,2,36700,N,26-30,51-100,low
MALE,-32100,Multi-vehicle Collision,Side Collision,Total Loss,Other,20,3,0,1,60200,N,26-30,101-150,medium
MALE,-82100,Parked Car,?,Minor Damage,None,6,1,1,2,6480,N,26-30,101-150,medium
FEMALE,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,20,1,0,1,87200,N,36-40,0-50,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,23,1,2,3,108480,N,41-45,251-300,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,4,3,2,3,67500,N,31-35,101-150,medium
MALE,0,Single Vehicle Collision,Rear Collision,Major Damage,Other,2,1,0,1,46980,N,61-65,451-500,medium
FEMALE,0,Parked Car,?,Minor Damage,Police,6,1,0,3,5060,N,56-60,451-500,low
